,Category,precision@5,precision@10,precision@20,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,mrr
Popularity,Baseline,0.008392818516115076,0.006835388276011248,0.00554834523036989,0.015524447282461294,0.02597580750036692,0.04301482549717978,0.013782243119140307,0.017180660138851278,0.022269045235835217,0.026380429296843994
User-CF,Baseline,0.0026389790179537098,0.00218472853125676,0.0021739130434782605,0.004031418751836719,0.006106892748277779,0.012512313081040269,0.003950850934988319,0.004610119888036165,0.0066063568535930026,0.008940510279102684
Item-CF,Baseline,0.012935323383084577,0.008976854856154013,0.005861994375946355,0.025054190821601072,0.03345569865168734,0.041954220258036884,0.023065623210725885,0.025764554945255095,0.028434514771006506,0.03680859466676645
SVD,MF,0.02072247458360372,0.014752325329872374,0.010772225827384817,0.03629929927289417,0.05150959435585077,0.07221631595372854,0.03440556107768085,0.038800444424802356,0.045283820064473276,0.05889497194535638
ALS,MF,0.023058619943759462,0.017153363616699113,0.013065109236426562,0.04248347073682979,0.06050861734355315,0.08791247456002489,0.038871455399922095,0.04441844832591357,0.05301817217806875,0.06448769611066721
NCF,Neural,0.0035474799913476096,0.0033528012113346315,0.003082414016872161,0.0056639598641728866,0.010854770417046121,0.020894687903938523,0.0051762204812311075,0.006978345320345807,0.010085594972292115,0.0128100064239799
